10bit
adaptive

# Adaptive Scanline Filters
# The original filename is:
# SLA_Dk_010_Br_040.txt

# The parameters used to generate the filters are:
# base=gs3, k=1.505, dp=2.080, bp=1.120

# Dark Coefficients
   0,  17,  27,   0
   0,  17,  27,   0
   0,  17,  28,   0
   0,  17,  29,   0
   0,  17,  30,   0
   0,  17,  31,   0
   0,  17,  32,   0
   0,  17,  33,   0
   0,  17,  34,   0
   0,  17,  35,   0
   0,  17,  37,   0
   0,  17,  38,   0
   0,  17,  39,   0
   0,  17,  41,   0
   0,  17,  42,   0
   0,  17,  44,   0
   0,  17,  45,   0
   0,  17,  47,   0
   0,  18,  49,   0
   0,  18,  50,   0
   0,  18,  52,   0
   0,  18,  54,   0
   0,  18,  56,   0
   0,  18,  58,   0
   0,  18,  61,   0
   0,  18,  63,   0
   0,  18,  65,   0
   0,  18,  68,   0
   0,  18,  70,   0
   0,  18,  73,   0
   0,  19,  75,   0
   0,  19,  78,   0
   0,  19,  81,   0
   0,  19,  84,   0
   0,  19,  87,   0
   0,  19,  90,   0
   0,  19,  93,   0
   0,  19,  96,   0
   0,  19, 100,   0
   0,  19, 103,   0
   0,  19, 107,   0
   0,  19, 110,   0
   0,  19, 114,   0
   0,  19, 118,   0
   0,  19, 122,   0
   0,  19, 125,   0
   0,  19, 129,   0
   0,  19, 133,   0
   0,  19, 137,   0
   0,  19, 142,   0
   0,  19, 146,   0
   0,  19, 150,   0
   0,  19, 155,   0
   0,  19, 159,   0
   0,  19, 163,   0
   0,  19, 168,   0
   0,  19, 173,   0
   0,  18, 177,   0
   0,  18, 182,   1
   0,  18, 187,   1
   0,  18, 191,   1
   0,  18, 196,   1
   0,  18, 201,   1
   0,  18, 206,   1
   0,  17, 210,   1
   0,  17, 215,   1
   0,  17, 220,   1
   0,  17, 225,   1
   0,  17, 230,   1
   0,  17, 235,   1
   0,  16, 240,   1
   0,  16, 244,   1
   0,  16, 249,   1
   0,  16, 254,   1
   0,  16, 259,   1
   0,  15, 264,   1
   0,  15, 268,   1
   0,  15, 273,   1
   0,  15, 277,   1
   0,  15, 282,   2
   0,  14, 287,   2
   0,  14, 291,   2
   0,  14, 295,   2
   0,  14, 300,   2
   0,  13, 304,   2
   0,  13, 308,   2
   0,  13, 312,   2
   0,  13, 316,   2
   0,  12, 320,   2
   0,  12, 323,   2
   0,  12, 327,   3
   0,  12, 331,   3
   0,  11, 334,   3
   0,  11, 337,   3
   0,  11, 340,   3
   0,  11, 343,   3
   0,  10, 346,   3
   0,  10, 349,   3
   0,  10, 352,   4
   0,  10, 354,   4
   0,   9, 357,   4
   0,   9, 359,   4
   0,   9, 361,   4
   0,   9, 363,   4
   0,   8, 364,   4
   0,   8, 366,   5
   0,   8, 367,   5
   0,   8, 369,   5
   0,   8, 370,   5
   0,   7, 371,   5
   0,   7, 371,   6
   0,   7, 372,   6
   0,   7, 372,   6
   0,   6, 373,   6

# Bright Coefficients
   4, 248,   4,   0
   4, 248,   4,   0
   4, 248,   4,   0
   4, 248,   5,   0
   4, 247,   5,   0
   4, 247,   5,   0
   3, 247,   5,   0
   3, 247,   5,   0
   3, 247,   5,   0
   3, 246,   6,   0
   3, 246,   6,   0
   3, 245,   6,   0
   3, 245,   6,   0
   3, 245,   6,   0
   3, 244,   6,   0
   3, 243,   7,   0
   2, 243,   7,   0
   2, 242,   7,   0
   2, 241,   7,   0
   2, 241,   7,   0
   2, 240,   8,   0
   2, 239,   8,   0
   2, 238,   8,   0
   2, 237,   8,   0
   2, 236,   9,   0
   2, 235,   9,   0
   2, 234,   9,   0
   2, 233,   9,   0
   2, 231,  10,   0
   2, 230,  10,   0
   1, 229,  10,   0
   1, 228,  10,   0
   1, 226,  11,   0
   1, 225,  11,   0
   1, 223,  11,   0
   1, 222,  11,   0
   1, 220,  12,   0
   1, 219,  12,   0
   1, 217,  12,   0
   1, 215,  13,   0
   1, 214,  13,   0
   1, 212,  13,   0
   1, 210,  14,   0
   1, 208,  14,   0
   1, 206,  14,   0
   1, 204,  14,   0
   1, 203,  15,   0
   1, 201,  15,   0
   1, 199,  15,   0
   1, 197,  16,   0
   1, 195,  16,   0
   1, 192,  17,   0
   1, 190,  17,   0
   1, 188,  17,   0
   1, 186,  18,   0
   1, 184,  18,   0
   1, 182,  18,   0
   0, 180,  19,   0
   0, 177,  19,   0
   0, 175,  19,   0
   0, 173,  20,   0
   0, 171,  20,   0
   0, 168,  21,   0
   0, 166,  21,   0
   0, 164,  21,   0
   0, 161,  22,   0
   0, 159,  22,   0
   0, 157,  22,   0
   0, 154,  23,   0
   0, 152,  23,   0
   0, 150,  24,   0
   0, 147,  24,   0
   0, 145,  24,   0
   0, 143,  25,   0
   0, 140,  25,   0
   0, 138,  25,   0
   0, 136,  26,   0
   0, 134,  26,   0
   0, 131,  27,   0
   0, 129,  27,   0
   0, 127,  27,   0
   0, 125,  28,   0
   0, 122,  28,   0
   0, 120,  29,   0
   0, 118,  29,   0
   0, 116,  29,   0
   0, 114,  30,   0
   0, 112,  30,   0
   0, 109,  31,   0
   0, 107,  31,   0
   0, 105,  31,   0
   0, 103,  32,   0
   0, 101,  32,   0
   0,  99,  33,   0
   0,  97,  33,   0
   0,  95,  33,   0
   0,  94,  34,   0
   0,  92,  34,   0
   0,  90,  35,   0
   0,  88,  35,   0
   0,  86,  35,   0
   0,  85,  36,   0
   0,  83,  36,   0
   0,  81,  37,   0
   0,  80,  37,   0
   0,  78,  38,   0
   0,  77,  38,   0
   0,  75,  38,   0
   0,  74,  39,   0
   0,  72,  39,   0
   0,  71,  40,   0
   0,  69,  40,   0
   0,  68,  41,   0
   0,  67,  41,   0
   0,  65,  42,   0
   0,  64,  42,   0
   0,  63,  43,   0
   0,  62,  44,   0
   0,  61,  44,   0
   0,  60,  45,   0
   0,  59,  45,   0
   0,  58,  46,   0
   0,  57,  47,   0
   0,  56,  47,   0
   0,  55,  48,   0
   0,  54,  49,   0
   0,  53,  50,   0
   0,  52,  50,   0
   0,  51,  51,   0
   0,  50,  52,   0
   0,  50,  53,   0
   0,  49,  54,   0
   0,  48,  55,   0
   0,  47,  56,   0
   0,  47,  57,   0
   0,  46,  58,   0
   0,  45,  59,   0
   0,  45,  60,   0
   0,  44,  61,   0
   0,  44,  62,   0
   0,  43,  63,   0
   0,  42,  64,   0
   0,  42,  65,   0
   0,  41,  67,   0
   0,  41,  68,   0
   0,  40,  69,   0
   0,  40,  71,   0
   0,  39,  72,   0
   0,  39,  74,   0
   0,  38,  75,   0
   0,  38,  77,   0
   0,  38,  78,   0
   0,  37,  80,   0
   0,  37,  81,   0
   0,  36,  83,   0
   0,  36,  85,   0
   0,  35,  86,   0
   0,  35,  88,   0
   0,  35,  90,   0
   0,  34,  92,   0
   0,  34,  94,   0
   0,  33,  95,   0
   0,  33,  97,   0
   0,  33,  99,   0
   0,  32, 101,   0
   0,  32, 103,   0
   0,  31, 105,   0
   0,  31, 107,   0
   0,  31, 109,   0
   0,  30, 112,   0
   0,  30, 114,   0
   0,  29, 116,   0
   0,  29, 118,   0
   0,  29, 120,   0
   0,  28, 122,   0
   0,  28, 125,   0
   0,  27, 127,   0
   0,  27, 129,   0
   0,  27, 131,   0
   0,  26, 134,   0
   0,  26, 136,   0
   0,  25, 138,   0
   0,  25, 140,   0
   0,  25, 143,   0
   0,  24, 145,   0
   0,  24, 147,   0
   0,  24, 150,   0
   0,  23, 152,   0
   0,  23, 154,   0
   0,  22, 157,   0
   0,  22, 159,   0
   0,  22, 161,   0
   0,  21, 164,   0
   0,  21, 166,   0
   0,  21, 168,   0
   0,  20, 171,   0
   0,  20, 173,   0
   0,  19, 175,   0
   0,  19, 177,   0
   0,  19, 180,   0
   0,  18, 182,   1
   0,  18, 184,   1
   0,  18, 186,   1
   0,  17, 188,   1
   0,  17, 190,   1
   0,  17, 192,   1
   0,  16, 195,   1
   0,  16, 197,   1
   0,  15, 199,   1
   0,  15, 201,   1
   0,  15, 203,   1
   0,  14, 204,   1
   0,  14, 206,   1
   0,  14, 208,   1
   0,  14, 210,   1
   0,  13, 212,   1
   0,  13, 214,   1
   0,  13, 215,   1
   0,  12, 217,   1
   0,  12, 219,   1
   0,  12, 220,   1
   0,  11, 222,   1
   0,  11, 223,   1
   0,  11, 225,   1
   0,  11, 226,   1
   0,  10, 228,   1
   0,  10, 229,   1
   0,  10, 230,   2
   0,  10, 231,   2
   0,   9, 233,   2
   0,   9, 234,   2
   0,   9, 235,   2
   0,   9, 236,   2
   0,   8, 237,   2
   0,   8, 238,   2
   0,   8, 239,   2
   0,   8, 240,   2
   0,   7, 241,   2
   0,   7, 241,   2
   0,   7, 242,   2
   0,   7, 243,   2
   0,   7, 243,   3
   0,   6, 244,   3
   0,   6, 245,   3
   0,   6, 245,   3
   0,   6, 245,   3
   0,   6, 246,   3
   0,   6, 246,   3
   0,   5, 247,   3
   0,   5, 247,   3
   0,   5, 247,   3
   0,   5, 247,   4
   0,   5, 247,   4
   0,   5, 248,   4
   0,   4, 248,   4
   0,   4, 248,   4

